Model; AssCyc; BinOver; DecInt; DepPhase; FreeRole; GSRig; HetColl; HomoFunc; ImpAbs; MixIden; MixRig; MultDep; PartOver; RelComp; RelOver; RelRig; RelSpec; RepRel; UndefFormal; UndefPhase; WholeOver; 
ConfigurationManagementTaskOntologyCMTO; 14; 2; 2; 0; 0; 0; 0; 1; 8; 0; 0; 2; 0; 4; 0; 1; 2; 1; 0; 0; 0; 
CSHGRefactored; 7; 2; 0; 0; 0; 0; 2; 0; 3; 0; 0; 4; 0; 2; 3; 1; 2; 3; 1; 1; 0; 
FIRARobotSoccerOntologyRefactored; 1; 0; 0; 0; 0; 0; 0; 2; 2; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Gi2MORefactored; 8; 4; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 11; 0; 2; 3; 13; 0; 0; 0; 
GRUMPSBRModel; 6; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 3; 0; 0; 2; 3; 0; 4; 1; 0; 0; 
IDAFModel; 7; 5; 0; 0; 0; 0; 2; 2; 4; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 5; 
InternalAffairsOntologyRefactored; 9; 11; 0; 0; 0; 0; 0; 1; 7; 0; 0; 3; 0; 15; 0; 3; 5; 7; 6; 2; 0; 
MPOGOntologyDraft; 1; 2; 0; 0; 0; 1; 0; 1; 3; 0; 0; 0; 0; 5; 0; 0; 2; 0; 5; 1; 0; 
OntoBio; 7; 2; 0; 0; 2; 0; 0; 0; 22; 0; 0; 0; 0; 27; 0; 1; 7; 2; 12; 0; 0; 
OntoEmerge; 40; 6; 0; 0; 1; 0; 0; 4; 53; 0; 0; 3; 0; 30; 0; 7; 15; 6; 79; 0; 1; 
OntoUMLOrgOntologyO3; 30; 13; 0; 0; 0; 0; 0; 1; 38; 0; 0; 0; 0; 81; 0; 3; 23; 8; 30; 0; 0; 
OpenproVenanceOntologyOVO; 12; 4; 1; 0; 0; 0; 0; 8; 17; 0; 0; 0; 0; 25; 0; 0; 6; 0; 8; 1; 0; 
PublicCloudVunerabilityOntology; 5; 0; 1; 0; 1; 0; 0; 0; 9; 0; 0; 3; 0; 2; 0; 6; 1; 2; 6; 0; 0; 
TheG805Ontology; 48; 6; 1; 0; 0; 0; 0; 2; 24; 0; 0; 1; 0; 26; 0; 0; 18; 0; 0; 0; 0; 
TheInternshipModel; 2; 2; 1; 0; 1; 0; 0; 0; 6; 0; 0; 1; 0; 0; 1; 2; 0; 4; 0; 0; 0; 
TheBankingModel2; 1; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 
TheBankingModel; 5; 0; 0; 0; 1; 0; 0; 0; 3; 0; 0; 4; 0; 2; 2; 0; 0; 2; 0; 0; 0; 
TheCharteredServiceModel; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 4; 0; 0; 
TheClergyModel; 2; 6; 0; 0; 2; 0; 0; 0; 3; 0; 0; 0; 0; 10; 1; 1; 7; 0; 0; 0; 0; 
TheConstructionModel; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
TheECGOntology; 21; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 8; 8; 0; 2; 0; 0; 
TheERPSystemModel; 1; 0; 0; 0; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 0; 
TheExperimentModel; 5; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 
TheFIFAFootballModel; 14; 0; 7; 0; 4; 0; 0; 0; 13; 3; 0; 1; 0; 0; 2; 1; 12; 4; 0; 0; 0; 
TheG800Ontology; 293; 31; 9; 0; 33; 2; 0; 16; 26; 0; 0; 8; 0; 61; 2; 35; 84; 21; 10; 0; 0; 
TheG805Ontology20; 141; 30; 13; 0; 27; 0; 0; 15; 24; 0; 0; 0; 0; 61; 2; 29; 80; 12; 6; 0; 0; 
TheG809Model; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
TheHealthOrganizationModel; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 4; 1; 0; 
TheHelpDeskSystemModel; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 4; 0; 0; 0; 0; 0; 
TheInventoryManagementSystemModel; 1; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 1; 0; 0; 0; 2; 0; 1; 0; 0; 0; 
TheITInfrastructureModel; 1; 0; 0; 0; 0; 0; 1; 8; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 1; 
TheLibraryModel; 11; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 5; 0; 0; 0; 9; 0; 0; 1; 0; 1; 
TheMGICOntology; 1015; 80; 55; 2; 37; 8; 51; 62; 402; 9; 3; 38; 13; 336; 131; 122; 518; 199; 58; 2; 18; 
TheMusicOntologyRefactored; 3; 2; 2; 0; 0; 0; 2; 3; 7; 0; 0; 1; 0; 2; 0; 0; 6; 1; 1; 0; 0; 
TheNormativeActsOntology; 3; 0; 0; 0; 0; 0; 0; 4; 4; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 
TheOnlineMentoringModel; 0; 0; 0; 0; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 2; 0; 3; 0; 0; 0; 
TheOpenFlowOntology; 2; 1; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
TheParkingLotModel; 10; 0; 0; 2; 0; 0; 0; 1; 9; 0; 0; 1; 0; 0; 0; 0; 0; 2; 7; 0; 0; 
ThePAS77Ontology; 2; 0; 0; 0; 2; 0; 0; 3; 8; 0; 0; 2; 0; 3; 0; 7; 0; 2; 0; 0; 0; 
ThePhotographyCollectionModel; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 
TheProjectManagementModel; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 1; 0; 
ThePROVOntologyRefactored; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 5; 0; 0; 1; 0; 0; 
ThePublicTendersModel; 9; 0; 0; 0; 0; 1; 0; 0; 2; 0; 0; 6; 0; 0; 0; 1; 6; 2; 2; 0; 0; 
TheQualityAssuranceProcessOntology; 4; 0; 0; 1; 1; 0; 0; 0; 3; 0; 0; 1; 0; 0; 0; 4; 0; 6; 5; 0; 0; 
TheRealStateModel; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
TheRecommendationModel; 1; 2; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 4; 0; 2; 2; 0; 3; 0; 0; 
TheSchoolTransportationModel; 8; 0; 0; 0; 2; 0; 0; 0; 2; 2; 0; 2; 0; 0; 0; 1; 2; 2; 0; 0; 0; 
TheSocialContractModel; 2; 5; 0; 0; 0; 0; 0; 0; 2; 0; 0; 2; 0; 5; 1; 2; 1; 0; 8; 0; 1; 
TheSoftwareRequirementsOntology; 3; 2; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 17; 0; 0; 3; 0; 0; 0; 0; 
TheStockBrokerModel; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
TheTMForumModel; 1; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 7; 0; 0; 0; 0; 0; 
TheUniversityModel; 7; 2; 0; 0; 1; 0; 0; 2; 7; 0; 0; 2; 0; 0; 0; 1; 2; 0; 0; 0; 0; 
UFOS; 25; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 0; 2; 20; 0; 0; 
WSMORefactored; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
